repository,commit_sha,commit_date,commit_title,commit_message,commit_author,additions,deletions,total_changes,avg_file_changes,median_file_changes,ai_detected,ai_score,ai_reasons,ai_tools,changed_files
Neargye/magic_enum,7d87efb4a3dddbbe8caa9ca14eff05ede1102ab8,2026-02-27T17:22:42Z,update ci,,Neargye,0.0,0.0,0.0,0.0,0.0,False,0,,,test/CMakeLists.txt
Neargye/magic_enum,8c3a9ec3ad48d0542be9dcb4175fe64088141b94,2026-02-27T17:19:10Z,update doc,,Neargye,18.0,18.0,36.0,18.0,18.0,False,0,,,README.md; doc/reference.md; include/magic_enum/magic_enum.hpp; include/magic_enum/magic_enum_flags.hpp
Neargye/magic_enum,1110266151c005683fc5c33b4fde2adeb7493e08,2026-02-27T16:46:19Z,fix #446,,Neargye,36.0,10.0,46.0,15.333333333333334,8.0,False,0,,,README.md; doc/reference.md; example/enum_flag_example.cpp; include/magic_enum/magic_enum_flags.hpp; test/test_flags.cpp
Neargye/magic_enum,9c986e5db8f7ad82c5a6a95e42f3fbfc32aecbb0,2026-02-27T16:40:38Z,update ci,,Neargye,116.0,77.0,193.0,193.0,193.0,False,0,,,.github/workflows/ubuntu.yml; test/3rdparty/Catch2/include/catch2/catch.hpp
Neargye/magic_enum,c60942a3302fd70c0b911a075db12b9940c1348d,2026-02-27T16:22:29Z,update ci,,Neargye,0.0,0.0,0.0,0.0,0.0,False,0,,,.github/workflows/macos.yml; .github/workflows/ubuntu.yml; .github/workflows/windows.yml
Neargye/magic_enum,c1aa6de965960250f4ab762e97e67e6290395dc7,2026-02-07T17:21:03Z,fix build,,Neargye,1.0,1.0,2.0,2.0,2.0,False,0,,,include/magic_enum/magic_enum.hpp
Neargye/magic_enum,da737578fedadd07b462608fc887c59019f2ade7,2026-02-05T10:49:28Z,#441,,Neargye,1.0,1.0,2.0,2.0,2.0,False,0,,,include/magic_enum/magic_enum.hpp
Neargye/magic_enum,905ba74eaa6be8009c8ea25e07a85e70025da012,2026-02-05T10:44:40Z,[issue Neargye#441] fix(magic_enum): fix enum_integer return value deduction on unsupported compilers. (#442),,WtDMaO0,1.0,1.0,2.0,2.0,2.0,False,0,,,include/magic_enum/magic_enum.hpp
Neargye/magic_enum,b75be1932096ace1cda1b878ad21108ad4831c50,2026-02-02T09:07:38Z,Bump github/codeql-action in the github-actions group (#443),,dependabot[bot],0.0,0.0,0.0,0.0,0.0,True,10,ai_author:dependabot[bot]; bot_author,,.github/workflows/scorecard.yml
Neargye/magic_enum,5b6e12fa1b43f24a124fc1eaee5a5a2a3fa4dda4,2026-01-25T08:42:09Z,Fix redefinition errors in module (regression fix) (#439),Fixes type redefinition errors when compiling magic_enum as a module with the MAGIC_ENUM_USE_STD_MODULE preprocessor variable defined.,ChristopherCanfield,2.0,0.0,2.0,2.0,2.0,False,0,,,include/magic_enum/magic_enum_format.hpp
Neargye/magic_enum,003a7173a0b9313e85b6b29d2fa4e34a97091d6f,2026-01-25T08:39:11Z,update ci,,Neargye,0.0,0.0,0.0,0.0,0.0,False,0,,,.github/workflows/macos.yml
Neargye/magic_enum,64c357fcb83bc952561235d86b21b447eff92bc0,2026-01-25T08:39:07Z,clean-up,,Neargye,10.0,25.0,35.0,35.0,35.0,False,0,,,doc/reference.md; include/magic_enum/magic_enum.hpp
Neargye/magic_enum,0453398b815d931d66faee494118ccff2a5a7a69,2026-01-25T08:39:48Z,Bump the github-actions group across 1 directory with 4 updates (#440),,dependabot[bot],0.0,0.0,0.0,0.0,0.0,True,10,ai_author:dependabot[bot]; bot_author,,.github/workflows/bzlmod-archive.yml; .github/workflows/macos.yml; .github/workflows/scorecard.yml; .github/workflows/ubuntu.yml; .github/workflows/ubuntu_test_installed_version.yml; .github/workflows/windows.yml
Neargye/magic_enum,5e481b6d854f72e2cea0e27be4caa686abe13d55,2026-01-25T08:35:35Z,add rules_cc bazel dependency (#438),,zaucy,0.0,0.0,0.0,0.0,0.0,False,0,,,BUILD.bazel; MODULE.bazel; test/BUILD.bazel; test/MODULE.bazel
Neargye/magic_enum,2e6e8bfff361c2c40990426c462b44af6c27820b,2025-11-21T15:21:54Z,Support fmt and std::format in C++20 module (#394),,CrackedMatter,0.0,0.0,0.0,0.0,0.0,False,0,,,module/magic_enum.cppm
